Emoji,Unicode,Description
🤹🏾‍♂️,U+1F939 U+1F3FE U+200D U+2642 U+FE0F,:man_juggling_medium-dark_skin_tone:
🧘🏾‍♀️,U+1F9D8 U+1F3FE U+200D U+2640 U+FE0F,:woman_in_lotus_position_medium-dark_skin_tone:
🧘🏾,U+1F9D8 U+1F3FE,:person_in_lotus_position_medium-dark_skin_tone:
🧘🏾‍♂️,U+1F9D8 U+1F3FE U+200D U+2642 U+FE0F,:man_in_lotus_position_medium-dark_skin_tone:
🛀🏾,U+1F6C0 U+1F3FE,:person_taking_bath_medium-dark_skin_tone:
🛌🏾,U+1F6CC U+1F3FE,:person_in_bed_medium-dark_skin_tone:
👋🏿,U+1F44B U+1F3FF,:waving_hand_dark_skin_tone:
🤚🏿,U+1F91A U+1F3FF,:raised_back_of_hand_dark_skin_tone:
🖐🏿,U+1F590 U+1F3FF,:hand_with_fingers_splayed_dark_skin_tone:
✋🏿,U+270B U+1F3FF,:raised_hand_dark_skin_tone:
🖖🏿,U+1F596 U+1F3FF,:vulcan_salute_dark_skin_tone:
👌🏿,U+1F44C U+1F3FF,:OK_hand_dark_skin_tone:
🤌🏿,U+1F90C U+1F3FF,:pinched_fingers_dark_skin_tone:
🤏🏿,U+1F90F U+1F3FF,:pinching_hand_dark_skin_tone:
✌🏿,U+270C U+1F3FF,:victory_hand_dark_skin_tone:
🤞🏿,U+1F91E U+1F3FF,:crossed_fingers_dark_skin_tone:
🫰🏿,U+1FAF0 U+1F3FF,:hand_with_index_finger_and_thumb_crossed_dark_skin_tone:
🤟🏿,U+1F91F U+1F3FF,:love-you_gesture_dark_skin_tone:
🤘🏿,U+1F918 U+1F3FF,:sign_of_the_horns_dark_skin_tone:
🤙🏿,U+1F919 U+1F3FF,:call_me_hand_dark_skin_tone:
🫵🏿,U+1FAF5 U+1F3FF,:index_pointing_at_the_viewer_dark_skin_tone:
🫱🏿,U+1FAF1 U+1F3FF,:rightwards_hand_dark_skin_tone:
🫲🏿,U+1FAF2 U+1F3FF,:leftwards_hand_dark_skin_tone:
🫸🏿,U+1FAF8 U+1F3FF,:rightwards_pushing_hand_dark_skin_tone:
🫷🏿,U+1FAF7 U+1F3FF,:leftwards_pushing_hand_dark_skin_tone:
🫳🏿,U+1FAF3 U+1F3FF,:palm_down_hand_dark_skin_tone:
🫴🏿,U+1FAF4 U+1F3FF,:palm_up_hand_dark_skin_tone:
👈🏿,U+1F448 U+1F3FF,:backhand_index_pointing_left_dark_skin_tone:
👉🏿,U+1F449 U+1F3FF,:backhand_index_pointing_right_dark_skin_tone:
👆🏿,U+1F446 U+1F3FF,:backhand_index_pointing_up_dark_skin_tone:
🖕🏿,U+1F595 U+1F3FF,:middle_finger_dark_skin_tone:
👇🏿,U+1F447 U+1F3FF,:backhand_index_pointing_down_dark_skin_tone:
☝🏿,U+261D U+1F3FF,:index_pointing_up_dark_skin_tone:
👍🏿,U+1F44D U+1F3FF,:thumbs_up_dark_skin_tone:
👎🏿,U+1F44E U+1F3FF,:thumbs_down_dark_skin_tone:
✊🏿,U+270A U+1F3FF,:raised_fist_dark_skin_tone:
👊🏿,U+1F44A U+1F3FF,:oncoming_fist_dark_skin_tone:
🤛🏿,U+1F91B U+1F3FF,:left-facing_fist_dark_skin_tone:
🤜🏿,U+1F91C U+1F3FF,:right-facing_fist_dark_skin_tone:
👏🏿,U+1F44F U+1F3FF,:clapping_hands_dark_skin_tone:
🫶🏿,U+1FAF6 U+1F3FF,:heart_hands_dark_skin_tone:
🙌🏿,U+1F64C U+1F3FF,:raising_hands_dark_skin_tone:
👐🏿,U+1F450 U+1F3FF,:open_hands_dark_skin_tone:
🤲🏿,U+1F932 U+1F3FF,:palms_up_together_dark_skin_tone:
🙏🏿,U+1F64F U+1F3FF,:folded_hands_dark_skin_tone:
✍🏿,U+270D U+1F3FF,:writing_hand_dark_skin_tone:
💅🏿,U+1F485 U+1F3FF,:nail_polish_dark_skin_tone:
🤳🏿,U+1F933 U+1F3FF,:selfie_dark_skin_tone:
💪🏿,U+1F4AA U+1F3FF,:flexed_biceps_dark_skin_tone:
🦵🏿,U+1F9B5 U+1F3FF,:leg_dark_skin_tone:
🦶🏿,U+1F9B6 U+1F3FF,:foot_dark_skin_tone:
👂🏿,U+1F442 U+1F3FF,:ear_dark_skin_tone:
🦻🏿,U+1F9BB U+1F3FF,:ear_with_hearing_aid_dark_skin_tone:
👃🏿,U+1F443 U+1F3FF,:nose_dark_skin_tone:
👶🏿,U+1F476 U+1F3FF,:baby_dark_skin_tone:
👧🏿,U+1F467 U+1F3FF,:girl_dark_skin_tone:
🧒🏿,U+1F9D2 U+1F3FF,:child_dark_skin_tone:
👦🏿,U+1F466 U+1F3FF,:boy_dark_skin_tone:
👩🏿,U+1F469 U+1F3FF,:woman_dark_skin_tone:
🧑🏿,U+1F9D1 U+1F3FF,:person_dark_skin_tone:
👨🏿,U+1F468 U+1F3FF,:man_dark_skin_tone:
👩🏿‍🦱,U+1F469 U+1F3FF U+200D U+1F9B1,:woman_dark_skin_tone_curly_hair:
🧑🏿‍🦱,U+1F9D1 U+1F3FF U+200D U+1F9B1,:person_dark_skin_tone_curly_hair:
👨🏿‍🦱,U+1F468 U+1F3FF U+200D U+1F9B1,:man_dark_skin_tone_curly_hair:
👩🏿‍🦰,U+1F469 U+1F3FF U+200D U+1F9B0,:woman_dark_skin_tone_red_hair:
🧑🏿‍🦰,U+1F9D1 U+1F3FF U+200D U+1F9B0,:person_dark_skin_tone_red_hair:
👨🏿‍🦰,U+1F468 U+1F3FF U+200D U+1F9B0,:man_dark_skin_tone_red_hair:
👱🏿‍♀️,U+1F471 U+1F3FF U+200D U+2640 U+FE0F,:woman_dark_skin_tone_blond_hair:
👱🏿,U+1F471 U+1F3FF,:person_dark_skin_tone_blond_hair:
👱🏿‍♂️,U+1F471 U+1F3FF U+200D U+2642 U+FE0F,:man_dark_skin_tone_blond_hair:
👩🏿‍🦳,U+1F469 U+1F3FF U+200D U+1F9B3,:woman_dark_skin_tone_white_hair:
🧑🏿‍🦳,U+1F9D1 U+1F3FF U+200D U+1F9B3,:person_dark_skin_tone_white_hair:
👨🏿‍🦳,U+1F468 U+1F3FF U+200D U+1F9B3,:man_dark_skin_tone_white_hair:
👩🏿‍🦲,U+1F469 U+1F3FF U+200D U+1F9B2,:woman_dark_skin_tone_bald:
🧑🏿‍🦲,U+1F9D1 U+1F3FF U+200D U+1F9B2,:person_dark_skin_tone_bald:
👨🏿‍🦲,U+1F468 U+1F3FF U+200D U+1F9B2,:man_dark_skin_tone_bald:
🧔🏿‍♀️,U+1F9D4 U+1F3FF U+200D U+2640 U+FE0F,:woman_dark_skin_tone_beard:
🧔🏿,U+1F9D4 U+1F3FF,:person_dark_skin_tone_beard:
🧔🏿‍♂️,U+1F9D4 U+1F3FF U+200D U+2642 U+FE0F,:man_dark_skin_tone_beard:
👵🏿,U+1F475 U+1F3FF,:old_woman_dark_skin_tone:
🧓🏿,U+1F9D3 U+1F3FF,:older_person_dark_skin_tone:
👴🏿,U+1F474 U+1F3FF,:old_man_dark_skin_tone:
👲🏿,U+1F472 U+1F3FF,:person_with_skullcap_dark_skin_tone:
👳🏿‍♀️,U+1F473 U+1F3FF U+200D U+2640 U+FE0F,:woman_wearing_turban_dark_skin_tone:
👳🏿,U+1F473 U+1F3FF,:person_wearing_turban_dark_skin_tone:
👳🏿‍♂️,U+1F473 U+1F3FF U+200D U+2642 U+FE0F,:man_wearing_turban_dark_skin_tone:
🧕🏿,U+1F9D5 U+1F3FF,:woman_with_headscarf_dark_skin_tone:
👮🏿‍♀️,U+1F46E U+1F3FF U+200D U+2640 U+FE0F,:woman_police_officer_dark_skin_tone:
👮🏿,U+1F46E U+1F3FF,:police_officer_dark_skin_tone:
👮🏿‍♂️,U+1F46E U+1F3FF U+200D U+2642 U+FE0F,:man_police_officer_dark_skin_tone:
👷🏿‍♀️,U+1F477 U+1F3FF U+200D U+2640 U+FE0F,:woman_construction_worker_dark_skin_tone:
👷🏿,U+1F477 U+1F3FF,:construction_worker_dark_skin_tone:
👷🏿‍♂️,U+1F477 U+1F3FF U+200D U+2642 U+FE0F,:man_construction_worker_dark_skin_tone:
💂🏿‍♀️,U+1F482 U+1F3FF U+200D U+2640 U+FE0F,:woman_guard_dark_skin_tone:
💂🏿,U+1F482 U+1F3FF,:guard_dark_skin_tone:
💂🏿‍♂️,U+1F482 U+1F3FF U+200D U+2642 U+FE0F,:man_guard_dark_skin_tone:
🕵🏿‍♀️,U+1F575 U+1F3FF U+200D U+2640 U+FE0F,:woman_detective_dark_skin_tone:
🕵🏿,U+1F575 U+1F3FF,:detective_dark_skin_tone:
🕵🏿‍♂️,U+1F575 U+1F3FF U+200D U+2642 U+FE0F,:man_detective_dark_skin_tone:
👩🏿‍⚕️,U+1F469 U+1F3FF U+200D U+2695 U+FE0F,:woman_health_worker_dark_skin_tone:
🧑🏿‍⚕️,U+1F9D1 U+1F3FF U+200D U+2695 U+FE0F,:health_worker_dark_skin_tone:
👨🏿‍⚕️,U+1F468 U+1F3FF U+200D U+2695 U+FE0F,:man_health_worker_dark_skin_tone:
👩🏿‍🌾,U+1F469 U+1F3FF U+200D U+1F33E,:woman_farmer_dark_skin_tone:
🧑🏿‍🌾,U+1F9D1 U+1F3FF U+200D U+1F33E,:farmer_dark_skin_tone:
👨🏿‍🌾,U+1F468 U+1F3FF U+200D U+1F33E,:man_farmer_dark_skin_tone:
👩🏿‍🍳,U+1F469 U+1F3FF U+200D U+1F373,:woman_cook_dark_skin_tone:
🧑🏿‍🍳,U+1F9D1 U+1F3FF U+200D U+1F373,:cook_dark_skin_tone:
👨🏿‍🍳,U+1F468 U+1F3FF U+200D U+1F373,:man_cook_dark_skin_tone:
👩🏿‍🎓,U+1F469 U+1F3FF U+200D U+1F393,:woman_student_dark_skin_tone:
🧑🏿‍🎓,U+1F9D1 U+1F3FF U+200D U+1F393,:student_dark_skin_tone:
👨🏿‍🎓,U+1F468 U+1F3FF U+200D U+1F393,:man_student_dark_skin_tone:
👩🏿‍🎤,U+1F469 U+1F3FF U+200D U+1F3A4,:woman_singer_dark_skin_tone:
🧑🏿‍🎤,U+1F9D1 U+1F3FF U+200D U+1F3A4,:singer_dark_skin_tone:
👨🏿‍🎤,U+1F468 U+1F3FF U+200D U+1F3A4,:man_singer_dark_skin_tone:
👩🏿‍🏫,U+1F469 U+1F3FF U+200D U+1F3EB,:woman_teacher_dark_skin_tone:
🧑🏿‍🏫,U+1F9D1 U+1F3FF U+200D U+1F3EB,:teacher_dark_skin_tone:
👨🏿‍🏫,U+1F468 U+1F3FF U+200D U+1F3EB,:man_teacher_dark_skin_tone:
👩🏿‍🏭,U+1F469 U+1F3FF U+200D U+1F3ED,:woman_factory_worker_dark_skin_tone:
🧑🏿‍🏭,U+1F9D1 U+1F3FF U+200D U+1F3ED,:factory_worker_dark_skin_tone:
👨🏿‍🏭,U+1F468 U+1F3FF U+200D U+1F3ED,:man_factory_worker_dark_skin_tone:
👩🏿‍💻,U+1F469 U+1F3FF U+200D U+1F4BB,:woman_technologist_dark_skin_tone:
🧑🏿‍💻,U+1F9D1 U+1F3FF U+200D U+1F4BB,:technologist_dark_skin_tone:
👨🏿‍💻,U+1F468 U+1F3FF U+200D U+1F4BB,:man_technologist_dark_skin_tone:
👩🏿‍💼,U+1F469 U+1F3FF U+200D U+1F4BC,:woman_office_worker_dark_skin_tone:
🧑🏿‍💼,U+1F9D1 U+1F3FF U+200D U+1F4BC,:office_worker_dark_skin_tone:
👨🏿‍💼,U+1F468 U+1F3FF U+200D U+1F4BC,:man_office_worker_dark_skin_tone:
👩🏿‍🔧,U+1F469 U+1F3FF U+200D U+1F527,:woman_mechanic_dark_skin_tone:
🧑🏿‍🔧,U+1F9D1 U+1F3FF U+200D U+1F527,:mechanic_dark_skin_tone:
👨🏿‍🔧,U+1F468 U+1F3FF U+200D U+1F527,:man_mechanic_dark_skin_tone:
👩🏿‍🔬,U+1F469 U+1F3FF U+200D U+1F52C,:woman_scientist_dark_skin_tone:
🧑🏿‍🔬,U+1F9D1 U+1F3FF U+200D U+1F52C,:scientist_dark_skin_tone:
👨🏿‍🔬,U+1F468 U+1F3FF U+200D U+1F52C,:man_scientist_dark_skin_tone:
👩🏿‍🎨,U+1F469 U+1F3FF U+200D U+1F3A8,:woman_artist_dark_skin_tone:
🧑🏿‍🎨,U+1F9D1 U+1F3FF U+200D U+1F3A8,:artist_dark_skin_tone:
👨🏿‍🎨,U+1F468 U+1F3FF U+200D U+1F3A8,:man_artist_dark_skin_tone:
👩🏿‍🚒,U+1F469 U+1F3FF U+200D U+1F692,:woman_firefighter_dark_skin_tone:
🧑🏿‍🚒,U+1F9D1 U+1F3FF U+200D U+1F692,:firefighter_dark_skin_tone:
👨🏿‍🚒,U+1F468 U+1F3FF U+200D U+1F692,:man_firefighter_dark_skin_tone:
👩🏿‍✈️,U+1F469 U+1F3FF U+200D U+2708 U+FE0F,:woman_pilot_dark_skin_tone:
🧑🏿‍✈️,U+1F9D1 U+1F3FF U+200D U+2708 U+FE0F,:pilot_dark_skin_tone:
👨🏿‍✈️,U+1F468 U+1F3FF U+200D U+2708 U+FE0F,:man_pilot_dark_skin_tone:
👩🏿‍🚀,U+1F469 U+1F3FF U+200D U+1F680,:woman_astronaut_dark_skin_tone:
🧑🏿‍🚀,U+1F9D1 U+1F3FF U+200D U+1F680,:astronaut_dark_skin_tone:
👨🏿‍🚀,U+1F468 U+1F3FF U+200D U+1F680,:man_astronaut_dark_skin_tone:
👩🏿‍⚖️,U+1F469 U+1F3FF U+200D U+2696 U+FE0F,:woman_judge_dark_skin_tone:
🧑🏿‍⚖️,U+1F9D1 U+1F3FF U+200D U+2696 U+FE0F,:judge_dark_skin_tone:
👨🏿‍⚖️,U+1F468 U+1F3FF U+200D U+2696 U+FE0F,:man_judge_dark_skin_tone:
👰🏿‍♀️,U+1F470 U+1F3FF U+200D U+2640 U+FE0F,:woman_with_veil_dark_skin_tone:
👰🏿,U+1F470 U+1F3FF,:person_with_veil_dark_skin_tone:
👰🏿‍♂️,U+1F470 U+1F3FF U+200D U+2642 U+FE0F,:man_with_veil_dark_skin_tone:
🤵🏿‍♀️,U+1F935 U+1F3FF U+200D U+2640 U+FE0F,:woman_in_tuxedo_dark_skin_tone:
🤵🏿,U+1F935 U+1F3FF,:person_in_tuxedo_dark_skin_tone:
🤵🏿‍♂️,U+1F935 U+1F3FF U+200D U+2642 U+FE0F,:man_in_tuxedo_dark_skin_tone:
👸🏿,U+1F478 U+1F3FF,:princess_dark_skin_tone:
🫅🏿,U+1FAC5 U+1F3FF,:person_with_crown_dark_skin_tone:
🤴🏿,U+1F934 U+1F3FF,:prince_dark_skin_tone:
🥷🏿,U+1F977 U+1F3FF,:ninja_dark_skin_tone:
🦸🏿‍♀️,U+1F9B8 U+1F3FF U+200D U+2640 U+FE0F,:woman_superhero_dark_skin_tone:
🦸🏿,U+1F9B8 U+1F3FF,:superhero_dark_skin_tone:
🦸🏿‍♂️,U+1F9B8 U+1F3FF U+200D U+2642 U+FE0F,:man_superhero_dark_skin_tone:
🦹🏿‍♀️,U+1F9B9 U+1F3FF U+200D U+2640 U+FE0F,:woman_supervillain_dark_skin_tone:
🦹🏿,U+1F9B9 U+1F3FF,:supervillain_dark_skin_tone:
🦹🏿‍♂️,U+1F9B9 U+1F3FF U+200D U+2642 U+FE0F,:man_supervillain_dark_skin_tone:
🤶🏿,U+1F936 U+1F3FF,:Mrs._Claus_dark_skin_tone:
🧑🏿‍🎄,U+1F9D1 U+1F3FF U+200D U+1F384,:mx_claus_dark_skin_tone:
🎅🏿,U+1F385 U+1F3FF,:Santa_Claus_dark_skin_tone:
🧙🏿‍♀️,U+1F9D9 U+1F3FF U+200D U+2640 U+FE0F,:woman_mage_dark_skin_tone:
🧙🏿,U+1F9D9 U+1F3FF,:mage_dark_skin_tone:
🧙🏿‍♂️,U+1F9D9 U+1F3FF U+200D U+2642 U+FE0F,:man_mage_dark_skin_tone:
🧝🏿‍♀️,U+1F9DD U+1F3FF U+200D U+2640 U+FE0F,:woman_elf_dark_skin_tone:
🧝🏿,U+1F9DD U+1F3FF,:elf_dark_skin_tone:
🧝🏿‍♂️,U+1F9DD U+1F3FF U+200D U+2642 U+FE0F,:man_elf_dark_skin_tone:
🧛🏿‍♀️,U+1F9DB U+1F3FF U+200D U+2640 U+FE0F,:woman_vampire_dark_skin_tone:
🧛🏿,U+1F9DB U+1F3FF,:vampire_dark_skin_tone:
🧛🏿‍♂️,U+1F9DB U+1F3FF U+200D U+2642 U+FE0F,:man_vampire_dark_skin_tone:
🧜🏿‍♀️,U+1F9DC U+1F3FF U+200D U+2640 U+FE0F,:mermaid_dark_skin_tone:
🧜🏿,U+1F9DC U+1F3FF,:merperson_dark_skin_tone:
🧜🏿‍♂️,U+1F9DC U+1F3FF U+200D U+2642 U+FE0F,:merman_dark_skin_tone:
🧚🏿‍♀️,U+1F9DA U+1F3FF U+200D U+2640 U+FE0F,:woman_fairy_dark_skin_tone:
🧚🏿,U+1F9DA U+1F3FF,:fairy_dark_skin_tone:
🧚🏿‍♂️,U+1F9DA U+1F3FF U+200D U+2642 U+FE0F,:man_fairy_dark_skin_tone:
👼🏿,U+1F47C U+1F3FF,:baby_angel_dark_skin_tone:
🤰🏿,U+1F930 U+1F3FF,:pregnant_woman_dark_skin_tone:
🫄🏿,U+1FAC4 U+1F3FF,:pregnant_person_dark_skin_tone:
🫃🏿,U+1FAC3 U+1F3FF,:pregnant_man_dark_skin_tone:
🤱🏿,U+1F931 U+1F3FF,:breast-feeding_dark_skin_tone:
👩🏿‍🍼,U+1F469 U+1F3FF U+200D U+1F37C,:woman_feeding_baby_dark_skin_tone:
🧑🏿‍🍼,U+1F9D1 U+1F3FF U+200D U+1F37C,:person_feeding_baby_dark_skin_tone:
👨🏿‍🍼,U+1F468 U+1F3FF U+200D U+1F37C,:man_feeding_baby_dark_skin_tone:
🙇🏿‍♀️,U+1F647 U+1F3FF U+200D U+2640 U+FE0F,:woman_bowing_dark_skin_tone:
🙇🏿,U+1F647 U+1F3FF,:person_bowing_dark_skin_tone:
🙇🏿‍♂️,U+1F647 U+1F3FF U+200D U+2642 U+FE0F,:man_bowing_dark_skin_tone:
💁🏿‍♀️,U+1F481 U+1F3FF U+200D U+2640 U+FE0F,:woman_tipping_hand_dark_skin_tone:
💁🏿,U+1F481 U+1F3FF,:person_tipping_hand_dark_skin_tone:
💁🏿‍♂️,U+1F481 U+1F3FF U+200D U+2642 U+FE0F,:man_tipping_hand_dark_skin_tone:
🙅🏿‍♀️,U+1F645 U+1F3FF U+200D U+2640 U+FE0F,:woman_gesturing_NO_dark_skin_tone:
🙅🏿,U+1F645 U+1F3FF,:person_gesturing_NO_dark_skin_tone:
🙅🏿‍♂️,U+1F645 U+1F3FF U+200D U+2642 U+FE0F,:man_gesturing_NO_dark_skin_tone:
🙆🏿‍♀️,U+1F646 U+1F3FF U+200D U+2640 U+FE0F,:woman_gesturing_OK_dark_skin_tone:
🙆🏿,U+1F646 U+1F3FF,:person_gesturing_OK_dark_skin_tone:
🙆🏿‍♂️,U+1F646 U+1F3FF U+200D U+2642 U+FE0F,:man_gesturing_OK_dark_skin_tone:
🙋🏿‍♀️,U+1F64B U+1F3FF U+200D U+2640 U+FE0F,:woman_raising_hand_dark_skin_tone:
🙋🏿,U+1F64B U+1F3FF,:person_raising_hand_dark_skin_tone:
🙋🏿‍♂️,U+1F64B U+1F3FF U+200D U+2642 U+FE0F,:man_raising_hand_dark_skin_tone:
🧏🏿‍♀️,U+1F9CF U+1F3FF U+200D U+2640 U+FE0F,:deaf_woman_dark_skin_tone:
🧏🏿,U+1F9CF U+1F3FF,:deaf_person_dark_skin_tone:
🧏🏿‍♂️,U+1F9CF U+1F3FF U+200D U+2642 U+FE0F,:deaf_man_dark_skin_tone:
🤦🏿‍♀️,U+1F926 U+1F3FF U+200D U+2640 U+FE0F,:woman_facepalming_dark_skin_tone:
🤦🏿,U+1F926 U+1F3FF,:person_facepalming_dark_skin_tone:
🤦🏿‍♂️,U+1F926 U+1F3FF U+200D U+2642 U+FE0F,:man_facepalming_dark_skin_tone:
🤷🏿‍♀️,U+1F937 U+1F3FF U+200D U+2640 U+FE0F,:woman_shrugging_dark_skin_tone:
🤷🏿,U+1F937 U+1F3FF,:person_shrugging_dark_skin_tone:
🤷🏿‍♂️,U+1F937 U+1F3FF U+200D U+2642 U+FE0F,:man_shrugging_dark_skin_tone:
🙎🏿‍♀️,U+1F64E U+1F3FF U+200D U+2640 U+FE0F,:woman_pouting_dark_skin_tone:
🙎🏿,U+1F64E U+1F3FF,:person_pouting_dark_skin_tone:
🙎🏿‍♂️,U+1F64E U+1F3FF U+200D U+2642 U+FE0F,:man_pouting_dark_skin_tone:
🙍🏿‍♀️,U+1F64D U+1F3FF U+200D U+2640 U+FE0F,:woman_frowning_dark_skin_tone:
🙍🏿,U+1F64D U+1F3FF,:person_frowning_dark_skin_tone:
🙍🏿‍♂️,U+1F64D U+1F3FF U+200D U+2642 U+FE0F,:man_frowning_dark_skin_tone:
💇🏿‍♀️,U+1F487 U+1F3FF U+200D U+2640 U+FE0F,:woman_getting_haircut_dark_skin_tone:
💇🏿,U+1F487 U+1F3FF,:person_getting_haircut_dark_skin_tone:
💇🏿‍♂️,U+1F487 U+1F3FF U+200D U+2642 U+FE0F,:man_getting_haircut_dark_skin_tone:
💆🏿‍♀️,U+1F486 U+1F3FF U+200D U+2640 U+FE0F,:woman_getting_massage_dark_skin_tone:
💆🏿,U+1F486 U+1F3FF,:person_getting_massage_dark_skin_tone:
💆🏿‍♂️,U+1F486 U+1F3FF U+200D U+2642 U+FE0F,:man_getting_massage_dark_skin_tone:
🧖🏿‍♀️,U+1F9D6 U+1F3FF U+200D U+2640 U+FE0F,:woman_in_steamy_room_dark_skin_tone:
🧖🏿,U+1F9D6 U+1F3FF,:person_in_steamy_room_dark_skin_tone:
🧖🏿‍♂️,U+1F9D6 U+1F3FF U+200D U+2642 U+FE0F,:man_in_steamy_room_dark_skin_tone:
💃🏿,U+1F483 U+1F3FF,:woman_dancing_dark_skin_tone:
🕺🏿,U+1F57A U+1F3FF,:man_dancing_dark_skin_tone:
🕴🏿,U+1F574 U+1F3FF,:person_in_suit_levitating_dark_skin_tone:
👩🏿‍🦽,U+1F469 U+1F3FF U+200D U+1F9BD,:woman_in_manual_wheelchair_dark_skin_tone:
🧑🏿‍🦽,U+1F9D1 U+1F3FF U+200D U+1F9BD,:person_in_manual_wheelchair_dark_skin_tone:
👨🏿‍🦽,U+1F468 U+1F3FF U+200D U+1F9BD,:man_in_manual_wheelchair_dark_skin_tone:
👩🏿‍🦼,U+1F469 U+1F3FF U+200D U+1F9BC,:woman_in_motorized_wheelchair_dark_skin_tone:
🧑🏿‍🦼,U+1F9D1 U+1F3FF U+200D U+1F9BC,:person_in_motorized_wheelchair_dark_skin_tone:
👨🏿‍🦼,U+1F468 U+1F3FF U+200D U+1F9BC,:man_in_motorized_wheelchair_dark_skin_tone:
🚶🏿‍♀️,U+1F6B6 U+1F3FF U+200D U+2640 U+FE0F,:woman_walking_dark_skin_tone:
🚶🏿,U+1F6B6 U+1F3FF,:person_walking_dark_skin_tone:
🚶🏿‍♂️,U+1F6B6 U+1F3FF U+200D U+2642 U+FE0F,:man_walking_dark_skin_tone:
👩🏿‍🦯,U+1F469 U+1F3FF U+200D U+1F9AF,:woman_with_white_cane_dark_skin_tone:
🧑🏿‍🦯,U+1F9D1 U+1F3FF U+200D U+1F9AF,:person_with_white_cane_dark_skin_tone:
👨🏿‍🦯,U+1F468 U+1F3FF U+200D U+1F9AF,:man_with_white_cane_dark_skin_tone:
🧎🏿‍♀️,U+1F9CE U+1F3FF U+200D U+2640 U+FE0F,:woman_kneeling_dark_skin_tone:
🧎🏿,U+1F9CE U+1F3FF,:person_kneeling_dark_skin_tone:
🧎🏿‍♂️,U+1F9CE U+1F3FF U+200D U+2642 U+FE0F,:man_kneeling_dark_skin_tone:
🏃🏿‍♀️,U+1F3C3 U+1F3FF U+200D U+2640 U+FE0F,:woman_running_dark_skin_tone:
🏃🏿,U+1F3C3 U+1F3FF,:person_running_dark_skin_tone:
🏃🏿‍♂️,U+1F3C3 U+1F3FF U+200D U+2642 U+FE0F,:man_running_dark_skin_tone:
🧍🏿‍♀️,U+1F9CD U+1F3FF U+200D U+2640 U+FE0F,:woman_standing_dark_skin_tone:
🧍🏿,U+1F9CD U+1F3FF,:person_standing_dark_skin_tone:
🧍🏿‍♂️,U+1F9CD U+1F3FF U+200D U+2642 U+FE0F,:man_standing_dark_skin_tone:
👭🏿,U+1F46D U+1F3FF,:women_holding_hands_dark_skin_tone:
🧑🏿‍🤝‍🧑🏿,U+1F9D1 U+1F3FF U+200D U+1F91D U+200D U+1F9D1 U+1F3FF,:people_holding_hands_dark_skin_tone:
👬🏿,U+1F46C U+1F3FF,:men_holding_hands_dark_skin_tone:
👫🏿,U+1F46B U+1F3FF,:woman_and_man_holding_hands_dark_skin_tone:
🧗🏿‍♀️,U+1F9D7 U+1F3FF U+200D U+2640 U+FE0F,:woman_climbing_dark_skin_tone:
🧗🏿,U+1F9D7 U+1F3FF,:person_climbing_dark_skin_tone:
🧗🏿‍♂️,U+1F9D7 U+1F3FF U+200D U+2642 U+FE0F,:man_climbing_dark_skin_tone:
🏇🏿,U+1F3C7 U+1F3FF,:horse_racing_dark_skin_tone:
🏂🏿,U+1F3C2 U+1F3FF,:snowboarder_dark_skin_tone:
🏌🏿‍♀️,U+1F3CC U+1F3FF U+200D U+2640 U+FE0F,:woman_golfing_dark_skin_tone:
🏌🏿,U+1F3CC U+1F3FF,:person_golfing_dark_skin_tone:
🏌🏿‍♂️,U+1F3CC U+1F3FF U+200D U+2642 U+FE0F,:man_golfing_dark_skin_tone:
🏄🏿‍♀️,U+1F3C4 U+1F3FF U+200D U+2640 U+FE0F,:woman_surfing_dark_skin_tone:
🏄🏿,U+1F3C4 U+1F3FF,:person_surfing_dark_skin_tone:
🏄🏿‍♂️,U+1F3C4 U+1F3FF U+200D U+2642 U+FE0F,:man_surfing_dark_skin_tone:
🚣🏿‍♀️,U+1F6A3 U+1F3FF U+200D U+2640 U+FE0F,:woman_rowing_boat_dark_skin_tone:
🚣🏿,U+1F6A3 U+1F3FF,:person_rowing_boat_dark_skin_tone:
🚣🏿‍♂️,U+1F6A3 U+1F3FF U+200D U+2642 U+FE0F,:man_rowing_boat_dark_skin_tone:
🏊🏿‍♀️,U+1F3CA U+1F3FF U+200D U+2640 U+FE0F,:woman_swimming_dark_skin_tone:
🏊🏿,U+1F3CA U+1F3FF,:person_swimming_dark_skin_tone:
🏊🏿‍♂️,U+1F3CA U+1F3FF U+200D U+2642 U+FE0F,:man_swimming_dark_skin_tone:
⛹🏿‍♀️,U+26F9 U+1F3FF U+200D U+2640 U+FE0F,:woman_bouncing_ball_dark_skin_tone:
⛹🏿,U+26F9 U+1F3FF,:person_bouncing_ball_dark_skin_tone:
⛹🏿‍♂️,U+26F9 U+1F3FF U+200D U+2642 U+FE0F,:man_bouncing_ball_dark_skin_tone:
🏋🏿‍♀️,U+1F3CB U+1F3FF U+200D U+2640 U+FE0F,:woman_lifting_weights_dark_skin_tone:
🏋🏿,U+1F3CB U+1F3FF,:person_lifting_weights_dark_skin_tone:
🏋🏿‍♂️,U+1F3CB U+1F3FF U+200D U+2642 U+FE0F,:man_lifting_weights_dark_skin_tone:
🚴🏿‍♀️,U+1F6B4 U+1F3FF U+200D U+2640 U+FE0F,:woman_biking_dark_skin_tone:
🚴🏿,U+1F6B4 U+1F3FF,:person_biking_dark_skin_tone:
