Emoji,Unicode,Description
🧟‍♀️,U+1F9DF U+200D U+2640 U+FE0F,:woman_zombie:
🧟,U+1F9DF,:zombie:
🧟‍♂️,U+1F9DF U+200D U+2642 U+FE0F,:man_zombie:
🧞‍♀️,U+1F9DE U+200D U+2640 U+FE0F,:woman_genie:
🧞,U+1F9DE,:genie:
🧞‍♂️,U+1F9DE U+200D U+2642 U+FE0F,:man_genie:
🧜‍♀️,U+1F9DC U+200D U+2640 U+FE0F,:mermaid:
🧜,U+1F9DC,:merperson:
🧜‍♂️,U+1F9DC U+200D U+2642 U+FE0F,:merman:
🧚‍♀️,U+1F9DA U+200D U+2640 U+FE0F,:woman_fairy:
🧚,U+1F9DA,:fairy:
🧚‍♂️,U+1F9DA U+200D U+2642 U+FE0F,:man_fairy:
🧌,U+1F9CC,:troll:
👼,U+1F47C,:baby_angel:
🤰,U+1F930,:pregnant_woman:
🫄,U+1FAC4,:pregnant_person:
🫃,U+1FAC3,:pregnant_man:
🤱,U+1F931,:breast-feeding:
👩‍🍼,U+1F469 U+200D U+1F37C,:woman_feeding_baby:
🧑‍🍼,U+1F9D1 U+200D U+1F37C,:person_feeding_baby:
👨‍🍼,U+1F468 U+200D U+1F37C,:man_feeding_baby:
🙇‍♀️,U+1F647 U+200D U+2640 U+FE0F,:woman_bowing:
🙇,U+1F647,:person_bowing:
🙇‍♂️,U+1F647 U+200D U+2642 U+FE0F,:man_bowing:
💁‍♀️,U+1F481 U+200D U+2640 U+FE0F,:woman_tipping_hand:
💁,U+1F481,:person_tipping_hand:
💁‍♂️,U+1F481 U+200D U+2642 U+FE0F,:man_tipping_hand:
🙅‍♀️,U+1F645 U+200D U+2640 U+FE0F,:woman_gesturing_NO:
🙅,U+1F645,:person_gesturing_NO:
🙅‍♂️,U+1F645 U+200D U+2642 U+FE0F,:man_gesturing_NO:
🙆‍♀️,U+1F646 U+200D U+2640 U+FE0F,:woman_gesturing_OK:
🙆,U+1F646,:person_gesturing_OK:
🙆‍♂️,U+1F646 U+200D U+2642 U+FE0F,:man_gesturing_OK:
🙋‍♀️,U+1F64B U+200D U+2640 U+FE0F,:woman_raising_hand:
🙋,U+1F64B,:person_raising_hand:
🙋‍♂️,U+1F64B U+200D U+2642 U+FE0F,:man_raising_hand:
🧏‍♀️,U+1F9CF U+200D U+2640 U+FE0F,:deaf_woman:
🧏,U+1F9CF,:deaf_person:
🧏‍♂️,U+1F9CF U+200D U+2642 U+FE0F,:deaf_man:
🤦‍♀️,U+1F926 U+200D U+2640 U+FE0F,:woman_facepalming:
🤦,U+1F926,:person_facepalming:
🤦‍♂️,U+1F926 U+200D U+2642 U+FE0F,:man_facepalming:
🤷‍♀️,U+1F937 U+200D U+2640 U+FE0F,:woman_shrugging:
🤷,U+1F937,:person_shrugging:
🤷‍♂️,U+1F937 U+200D U+2642 U+FE0F,:man_shrugging:
🙎‍♀️,U+1F64E U+200D U+2640 U+FE0F,:woman_pouting:
🙎,U+1F64E,:person_pouting:
🙎‍♂️,U+1F64E U+200D U+2642 U+FE0F,:man_pouting:
🙍‍♀️,U+1F64D U+200D U+2640 U+FE0F,:woman_frowning:
🙍,U+1F64D,:person_frowning:
🙍‍♂️,U+1F64D U+200D U+2642 U+FE0F,:man_frowning:
💇‍♀️,U+1F487 U+200D U+2640 U+FE0F,:woman_getting_haircut:
💇,U+1F487,:person_getting_haircut:
💇‍♂️,U+1F487 U+200D U+2642 U+FE0F,:man_getting_haircut:
💆‍♀️,U+1F486 U+200D U+2640 U+FE0F,:woman_getting_massage:
💆,U+1F486,:person_getting_massage:
💆‍♂️,U+1F486 U+200D U+2642 U+FE0F,:man_getting_massage:
🧖‍♀️,U+1F9D6 U+200D U+2640 U+FE0F,:woman_in_steamy_room:
🧖,U+1F9D6,:person_in_steamy_room:
🧖‍♂️,U+1F9D6 U+200D U+2642 U+FE0F,:man_in_steamy_room:
💅,U+1F485,:nail_polish:
🤳,U+1F933,:selfie:
💃,U+1F483,:woman_dancing:
🕺,U+1F57A,:man_dancing:
👯‍♀️,U+1F46F U+200D U+2640 U+FE0F,:women_with_bunny_ears:
👯,U+1F46F,:people_with_bunny_ears:
👯‍♂️,U+1F46F U+200D U+2642 U+FE0F,:men_with_bunny_ears:
🕴,U+1F574,:person_in_suit_levitating:
👩‍🦽,U+1F469 U+200D U+1F9BD,:woman_in_manual_wheelchair:
🧑‍🦽,U+1F9D1 U+200D U+1F9BD,:person_in_manual_wheelchair:
👨‍🦽,U+1F468 U+200D U+1F9BD,:man_in_manual_wheelchair:
👩‍🦼,U+1F469 U+200D U+1F9BC,:woman_in_motorized_wheelchair:
🧑‍🦼,U+1F9D1 U+200D U+1F9BC,:person_in_motorized_wheelchair:
👨‍🦼,U+1F468 U+200D U+1F9BC,:man_in_motorized_wheelchair:
🚶‍♀️,U+1F6B6 U+200D U+2640 U+FE0F,:woman_walking:
🚶,U+1F6B6,:person_walking:
